Project Name,Datasource Name,Database Name,Table Schema,Table Name,Database Connection Type,USER_NAME,AUTHENTICATION_METHOD
QBR Datasources,QBR_CUSTOMER_ROI_PERIOD_DATA,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - CLAIMS AND SPEND DATA SET,TRANSFORMED_LAYER,VISUALIZATION,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
