Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
QBR - Primary Data Source - Data Availability - Test,23ef8067-c6ea-02c2-e5d0-debf03dcb25d,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Savings Dataset,23f823ff-d36e-9401-69ab-017cdb7f916c,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset,23f823ff-d36e-9401-69ab-017cdb7f916c,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,26fb5e7b-d660-941d-7bab-2a59e818a1c7,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,26fb5e7b-d660-941d-7bab-2a59e818a1c7,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
QBR - CLAIMS AND SPEND DATA SET | Project : QBR Datasources,2917af5d-78c4-7b00-f509-481befc0f330,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - CLAIMS AND SPEND DATA SET | Project : QBR Datasources,2917af5d-78c4-7b00-f509-481befc0f330,VISUALIZATION,VW_CLAIMS_AND_SPENDS,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data,2967f5f5-8acc-8bf3-88a7-c22a186d35a3,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data,2967f5f5-8acc-8bf3-88a7-c22a186d35a3,VISUALIZATION,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER,snowflake
QBR - Login and Registration Data,2a3c280c-b461-40e4-1c6d-c8751a2a17d3,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
